token_id	speaker	tu_id	unit	id	span	form	lemma	upos	xpos	feats	deprel	type	meta_label	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	PKP070	0	0	0	ma	ma	_	_	_	_	_	linguistic	_	none	_	Begin=0.3	_	_	_	_
0-1	PKP070	0	0	1	perché	perché	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-2	PKP070	0	0	2	tuo	tuo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-3	PKP070	0	0	3	il	il	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-4	PKP070	0	0	4	tuo	tuo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-5	PKP070	0	0	5	è	è	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-6	PKP070	0	0	6	diverso	diverso	_	_	_	_	_	linguistic	_	none	_	End=2.0	_	_	_	_
1-0	PKP075	1	1	0	e	e	_	_	_	_	_	linguistic	_	none	_	Begin=8.21	_	_	_	_
1-1	PKP075	1	1	1	allora	allora	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-2	PKP075	1	1	2	come	come	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-3	PKP075	1	1	3	è	è	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-4	PKP075	1	1	4	andata	andata	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-5	PKP075	1	1	5	ieri	ieri	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-6	PKP075	1	1	6	sera,	sera	_	_	_	_	_	linguistic	_	none	Intonation=WeaklyRising	End=10.02	_	_	_	_
2-0	PKP076	2	2	0	e:he:h	eheh	_	_	_	_	_	linguistic	_	none	_	Begin=10.337	0x1,2x1	_	_	_
2-1	PKP076	2	2	1	praticamente	praticamente	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-2	PKP076	2	2	2	abbiamo	abbiamo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-3	PKP076	2	2	3	fatto	fatto	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-4	PKP076	2	2	4	una	una	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-5	PKP076	2	2	5	caccia	caccia	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-6	PKP076	2	2	6	al	al	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-7	PKP076	2	2	7	tesoro,	tesoro	_	_	_	_	_	linguistic	_	none	Intonation=WeaklyRising	End=13.5	_	_	_	_
3-0	PKP076	3	3	0	e	e	_	_	_	_	_	linguistic	_	none	_	Begin=14.453	_	_	_	_
3-1	PKP076	3	3	1	eravamo	eravamo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-2	PKP076	3	3	2	a	a	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-3	PKP076	3	3	3	coppie	coppie	_	_	_	_	_	linguistic	_	none	_	End=15.718	_	_	_	_
4-0	PKP076	4	4	0	io	io	_	_	_	_	_	linguistic	_	none	_	Begin=16.104	_	_	_	_
4-1	PKP076	4	4	1	e	e	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
